conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1943294007473508383,Thu Jul 10 12:59:30 +0000 2025,0,Bebal.. bukti baru apa lagi coba kan jelas ijazah udah di uji labfor dan hasilnya identik lalu apa lagi ?... kpn kasus ini selesai besok adalagi betor² lain uji lagi Hadeeh https://t.co/il9IKSZIf8,1943294007473508383,,,in,,0,0,0,https://x.com/undefined/status/1943294007473508383,773236758796394496,
1943269200912617801,Thu Jul 10 12:58:56 +0000 2025,0,@kompascom Udah ketebak dr awal bhw si Mukidi ga bakal muncul apalagi bawa ijazah nya Penggugat harus naik banding jgn menyerah,1943293865932497070,,kompascom,in,,0,0,0,https://x.com/undefined/status/1943293865932497070,1544242115508457473,
1943293816699547960,Thu Jul 10 12:58:45 +0000 2025,0,Fix Jokowi tdk punya ijazah asli... ini adalah kejahatan yg terencana yg di lindungi polri,1943293816699547960,,,in,,0,0,0,https://x.com/undefined/status/1943293816699547960,1817158983985295360,
1943293574986240374,Thu Jul 10 12:57:47 +0000 2025,0,Semoga diusut dugaan pembuatan ijazah palsu,1943293574986240374,,,in,,0,0,0,https://x.com/undefined/status/1943293574986240374,111449759,
1943152480759742855,Thu Jul 10 12:57:08 +0000 2025,0,@tvOneNews Untuk melawan narasi Roy Suryo Cs tidak ada langkah lain kecuali menunjukkan ijazah Jokowi. Sudah saatnya polemik diakhiri sampai di sini.,1943293410158481741,,tvOneNews,in,,0,0,0,https://x.com/undefined/status/1943293410158481741,344601410,
1942740745204687259,Thu Jul 10 12:56:20 +0000 2025,0,@V3g3L Keren ni remaja..dn tentu ITB tdk mngluarkan ijazah palsu,1943293211633684524,,V3g3L,in,,0,0,0,https://x.com/undefined/status/1943293211633684524,4491378804,
1943254988500930930,Thu Jul 10 12:56:16 +0000 2025,0,@alisyarief 1000℅ ijazah jkw dibuat dikios paiman di pasar pramuka (Beathor suryadi),1943293193891778761,,alisyarief,in,,0,1,0,https://x.com/undefined/status/1943293193891778761,1917848651336134656,
1943288685236998488,Thu Jul 10 12:56:14 +0000 2025,0,@Heraloebss Ini yg bikin males buka X msh seputar ijazah terosss.,1943293186539163726,,Heraloebss,in,,0,0,0,https://x.com/undefined/status/1943293186539163726,1443803353327095809,
1943143152401219718,Thu Jul 10 12:56:04 +0000 2025,0,@detikcom Sampai negara ini bubar pun ijazah itu tidak akan diperlihatkan dan diputuskan sebagai ijazah asli.!!!!,1943293143660581114,,detikcom,in,,0,0,0,https://x.com/undefined/status/1943293143660581114,109210612,
1943292308570701902,Thu Jul 10 12:55:55 +0000 2025,0,@DedynurPalakka Ya gugur lah wong ijazah aslinya aja ga ada apa yang mau dibuktikan,1943293102795706520,,DedynurPalakka,in,,0,0,0,https://x.com/undefined/status/1943293102795706520,1523141610774548481,
1943293075977097328,Thu Jul 10 12:55:48 +0000 2025,0,Gagal Tunjukkan Ijazah Asli Jokowi Dirtipidum Kalah Telak https://t.co/nkrs8NOpzn,1943293075977097328,,,in,,0,0,0,https://x.com/undefined/status/1943293075977097328,808582626688712704,
1943292868548005914,Thu Jul 10 12:54:59 +0000 2025,0,Rasionalitas yang terkubur dalam kasus ijazah palsu. Jika si O menuduh ijazah si W palsu. Maka si W dengan keyakinan penuh menunjukkan bahwa ijazahnya asli. Tapi nyatanya tidak begitu. Dan ironisnya rasionalitas ini kian terkubur sebab diperkuat (dilindungi) lembaga.,1943292868548005914,,,in,,0,0,0,https://x.com/undefined/status/1943292868548005914,210012158,
